Car Make,model_NAME,YEAR ,price($),Mileage(km) ,colour/Color, fuel_Type,No. of Owners
Nissan,Accord,'14,82425.0,246028KM,Grey,null,
toyota,Elantra,98,N/A,219095,,Gas,
Toyota,mustang,2012,66585.0,297395KM,NULL,gasoline,N/A
  3series  ,TOYOTA,'21,54455.00,"233,448",Red,Hybrid,2nd
volkswagen,Civic,,29854.0,"  221,700  ",Gray,Hybrid,N/A
toyota,F-150,,  N/A  ,137128,unknown,EV,1st
toyota,mustang,2006.0,85631.00,35723 km,  red  ,Electric,1 owner
NULL,3series,2008.0,60638,57666 km,gray,HYBRID,
Audi,A4,2014 model,59480.00,"186,776",N/A,Unknown,2.0
Silverado,Audi,2000,negotiable,83478.0,SILVER,Hybrid,2 owners
Audi,silverado,04,N/A,-,RED,EV,1st
VW,A4,20,N/A,"60,793",NULL,Unknown,N/A
VW,Golf,  twenty ten  ,$14312,unknown,Grey,Gasoline,5 owners
ford,3series,13,$27726,  240592 km  ,unknown,  Diesel  ,2nd
ford,Elantra,1990.0,6027.0,164200.1 miles,red,gasoline,N/A
Volkswagen,Elantra,  2014  ,negotiable,"125,863",blue,Petrol,  2nd  
Nissan,camry,1995,41871 USD,349458,SILVER,Petrol,NA
n/a,camry,twenty ten,-,27480 km,  Green  ,diesel,N/A
Hyundai,Elantra,nineteen ninety five,n/a,127109 km,Grey,Hybrid,two
B.M.W,Camry,two thousand and five,"$67,168",106327 km,unknown,HYBRID,
ford,  Silverado  ,two thousand and five,30409,214521 km,white,hybrid,N/A
BMW,F 150,two thousand,N/A,354 km,Gray,Electric,five
Hyundai,  F-150  ,2014,"$45,209",,green,Diesel,5th
Hyundai,  silverado  ,2021 model,47820,"335,257",-,petrol,
bmw,Elantra,N/A,17606,332392,  green  ,Petrol,4th
TOYOTA,Mustang,2009 model,negotiable,347783KM,unknown,EV,4
  Honda  ,Silverado,'02,"$40,885",unknown,white,EV,5th
bmw,Mustang,2009,N/A,225770,unknown,  electric  ,5th
B.M.W,A4,99,79370.0,N/A,Black,EV,1
B.M.W,N/A,2021,"$83,322",107728.4 miles,White,PETROL,N/A
HONDA,Accord,,$36018,205909.3 miles,Grey,petrol,5 owners
Ford,f150,1995 model,"$89,529",unknown,  gray  ,EV,4 owners
AUDI,Accord,1994,N/A,"259,035",N/A,Electric,3rd
toyota,  f150  ,2013,"$81,666","127,030",SILVER,Electric,3rd
B.M.W,Elantra,'13,negotiable,44331 km,red,Gas,N/A
toyota,Silverado,twenty twenty,31961.00,unknown,blue,Gas,
bmw,camry,2006,"$37,935",unknown,red,Petrol,N/A
bmw,Mustang,2016 model,NA,"240,773",,EV,#N/A
chevy,civic,nineteen ninety five,,$71883,  White  ,  PETROL  ,4.0
Honda,F-150,93,64k,,Gray,Gasoline,4th
AUDI,A4,,$82849,"207,318",silver,electric,4.0
volkswagen,civic,1991,50792.00,190555.0,gray,Diesel,N/A
TOYOTA,Golf,16,  14k  ,97164.1 miles,BLUE,n/a,  3  
Honda,silverado,2004 model,  65756.00  ,316329 km,?,diesel,4th
Ford,Corolla,2024.0,negotiable,89306 km,blue,Unknown,
Audi,Sentra,,"$83,825",314713 km,red,electric,2.0
Chevrolet,Elantra,twenty ten,N/A,,White,Gasoline,2.0
Volkswagen,F 150,1993,,  108622.0  ,?,Petrol,4 owners
toyota,civic,2020.0,90153.0,,unknown,EV,
Chevrolet,F-150,nineteen ninety five,37k,36563.0,unknown,Gas,-
toyota,Sentra,2005 model,N/A,246569,unknown,Hybrid,N/A
N/A,Elantra,twenty ten,68613.00,unknown,RED,Diesel,2.0
B.M.W,F 150,nineteen ninety five,58k,163929KM,black,n/a,1 owner
TOYOTA,Accord,NA,negotiable,,unknown,Electric,one
Toyota,Civic,2010 model,52243 USD,"167,523",unknown,DIESEL,2
AUDI,Camry,2004,,unknown,Black,gasoline,  N/A  
nissan,n/a,'08,25033 USD,#N/A,white,,
Toyota,civic,NULL,81305 USD,221223 km,black,#N/A,2nd
Hyundai,Altima,'24,$82123,303767.0,n/a,HYBRID,N/A
chevy,Elantra,twenty twenty,,  27  ,?,electric,N/A
Toyota,Accord,2016.0,55546,"302,311",white,plug-in hybrid,3rd
VW,Elantra,,51334.00,157734KM,Green,PETROL,
AUDI,Civic,NA,negotiable,336960.0,NA,EV,2 owners
ford,Civic,'04,50599,230552.0,,hybrid,one
A4,VW,2006 model,66984.00,  196258KM  ,unknown,  DIESEL  ,3rd
nissan,Golf,12,12k,,unknown,HYBRID,n/a
Chevrolet,Elantra,'13,,NULL,,Diesel,N/A
Audi,Altima,  2015 model  ,N/A,26181.5 miles,RED,,N/A
Nissan,,  1999.0  ,,,Red,EV,
B.M.W,Sentra,2024,N/A,91611 km,blue,PETROL,three
HONDA,F-150,1991 model,90106.00,,white,Unknown,4
nissan,Accord,2024.0,"$12,293",-,White,Unknown,5.0
AUDI,F 150,twenty twenty,$72521,107759,Blue,diesel,N/A
Audi,  F-150  ,01,#N/A,270013 km,Silver,gasoline,4
nissan,3 Series,2009 model,,101944.7 miles,Silver,HYBRID,N/A
Ford,Camry,2016,15715,200511,?,Hybrid,5th
#N/A,Sentra,'14,  21137 USD  ,15978 km,Green,Diesel,N/A
Chevrolet,  Sentra  ,2021,-,,White,N/A,  4  
chevy,mustang,2020 model,36536 USD,236535,SILVER,electric,1 owner
Nissan,3 Series,17,,$41627,unknown,diesel,1.0
bmw,Silverado,two thousand and five,29173.00,"172,632",Blue,DIESEL,N/A
B.M.W,f150,,66674.0,unknown,green,DIESEL,  5th  
Ford,Silverado,'03,22219.0,,silver,Diesel,1.0
TOYOTA,civic,2012.0,N/A,"105,206",RED,n/a,
Elantra,VW,,N/A,117450 km,Black,hybrid,3rd
toyota,Corolla,  2010.0  ,"$77,445","249,246",?,  gasoline  ,
Toyota,Civic,,  41323.00  ,$37118,Red,PETROL,N/A
Nissan,f150,'21,19k,25206 km,?,electric,2
bmw,silverado,two thousand,$4570,"260,637",Gray,electric,3.0
Volkswagen,Corolla,two thousand and five,65k,196421 km,silver,PETROL,2nd
toyota,A4,1991 model,49k,106272.8 miles,black,DIESEL,2nd
Audi,Golf,2019,N/A,26714KM,n/a,petrol,1.0
Ford,3series,two thousand and five,"$45,096",211377.3 miles,  silver  ,HYBRID,2nd
Honda,F-150,'02,55810,87893KM,white,Diesel,3
Volkswagen,Civic,'21,39145,121496.0 miles,SILVER,,
Volkswagen,Accord,2010 model,N/A,31889.4 miles,SILVER,gasoline,N/A
NULL,Corolla,2003,$32209,181092KM,Blue,Diesel,five
bmw,Camry,two thousand,,119709,silver,hybrid,
TOYOTA,f150,1998.0,"$27,706",unknown,RED,DIESEL,2
Chevrolet,Mustang,2008 model,#N/A,57344 km,Green,Gasoline,five
TOYOTA,Mustang,,89917.0,  43852.1 miles  ,BLUE,Petrol,
VW,Elantra,1996 model,null,,  N/A  ,-,2
NA,mustang,n/a,$54508,134586 km,unknown,hybrid,4.0
chevy,  silverado  ,'96,negotiable,208197,green,gasoline,5.0
chevy,Mustang,,N/A,46128.0 miles,unknown,diesel,  2nd  
BMW,Corolla,  09  ,  $8171  ,NA,blue,,2 owners
Audi,mustang,1994,,132985KM,  SILVER  ,Petrol,
HONDA,Accord,2019 model,negotiable,206919.8 miles,,diesel,  1  
HONDA,Golf,2003,N/A,283850KM,RED,EV,four
chevy,Elantra,11,NA,48830.3 miles,Green,HYBRID,2 owners
nissan,Corolla,2003,NA,69319.0,Grey,,4.0
B.M.W,3 Series,  97  ,19041,unknown,  unknown  ,hybrid,N/A
Audi,Mustang,04,N/A,1209.0,SILVER,EV,
B.M.W,F-150,NA,N/A,,Green,Petrol,3 owners
toyota,civic,1998,$24122,,white,PETROL,
HONDA,Altima,2013 model,55568 USD,unknown,N/A,Gasoline,
Toyota,Corolla,n/a,49k,156005.0,silver,DIESEL,
volkswagen,Accord,2008.0,73152.0,98901.0,White,Petrol,five
Hyundai,Camry,twenty ten,"$49,838",23217,Blue,hybrid,
Volkswagen,F 150,,N/A,280769 km,?,EV,3.0
nissan,F 150,two thousand,$19076,"181,312",unknown,PETROL,5 owners
Volkswagen,A4,2000.0,,197337KM,silver,plug-in hybrid,one
Audi,mustang,90,negotiable,unknown,Grey,EV,four
Ford,Accord,99,"$63,179",unknown,Blue,Gasoline,4 owners
Audi,silverado,  2005 model  ,negotiable,169367.0,  unknown  ,  hybrid  ,4th
toyota,Elantra,09,negotiable,n/a,RED,Electric,three
HONDA,civic,2015 model,79002 USD,"10,079",Black,electric,2nd
B.M.W,Elantra,NA,15299,,,Electric,four
Audi,Mustang,'93,37k,79631 km,  blue  ,Electric,NULL
HONDA,Sentra,2006 model,negotiable,,gray,Gasoline,3 owners
chevy,-,  '05  ,$43411,,  Red  ,Petrol,  4  
toyota,null,08,negotiable,50356 km,red,Diesel,
Audi,3series,'11,"$54,462",291925,green,Gas,4
volkswagen,civic,twenty twenty,N/A,316491 km,null,Unknown,N/A
NULL,Elantra,1992.0,,318567 km,silver,Hybrid,
silverado,VW,  2020.0  ,16k,310327.0,BLUE,hybrid,N/A
bmw,Altima,twenty ten,"$54,620",  330876KM  ,Gray,diesel,
Ford,Golf,  twenty twenty  ,negotiable,88457.4 miles,Grey,Hybrid,N/A
chevy,  Corolla  ,-,69981.0,295626,red,DIESEL,1 owner
  volkswagen  ,mustang,,NULL,"81,418",#N/A,,2 owners
Ford,Sentra,2005,89757,300811KM,Grey,Petrol,4.0
bmw,mustang,1994,7933.00,115576 km,#N/A,PETROL,
,Mustang,'93,52645.0,147684.9 miles,  Blue  ,Electric,5
Mustang,Hyundai,2006,83033 USD,204431.9 miles,  null  ,Unknown,null
B.M.W,Corolla,1992.0,,NULL,green,Hybrid,three
B.M.W,3series,,$5323,28079.0,Gray,HYBRID,1.0
toyota,Mustang,1991,N/A,,Black,Electric,3rd
chevy,civic,1990 model,,,unknown,Gas,four
